Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),Longitude (x),Latitude (y),Station Name,Climate ID,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),DateNum,FlowRate_05BA002,FlowRate_05BA001,FlowRate_05BB001,FlowRate_05BC001,FlowRate_05BD004,FlowRate_05BC008,FlowRate_05BE007,FlowRate_05BE004,FlowRate_05BF025,FlowRate_05BH013,FlowRate_05BG010,FlowRate_05BG006,FlowRate_05BE999,FlowRate_05BH015,FlowRate_05BH005,FlowRate_05BH008,FlowRate_05BH004
-115.55,51.19,BANFF CS,3050519,2010-01-01,-3.2,-18.9,-11.1,29.1,0,,,0,15,24,33,-115.03,51.03,KANANASKIS,3053600,6.5,-24,-8.8,26.8,0,0,,0,,734139,0.87,NaN,9.15,1.48,6.52,0.354,15.1,44.4,8.13,NaN,2.13,0.522,53.1,0.215,NaN,49.6,51.3
-115.55,51.19,BANFF CS,3050519,2010-01-02,1.1,-4.5,-1.7,19.7,0,,,0,15,,<31,-115.03,51.03,KANANASKIS,3053600,6.5,-1.5,2.5,15.5,0,0,,0,,734140,0.898,NaN,9.6,1.49,7.74,0.358,14.9,43.5,8.1,NaN,2.07,0.515,58.8,0.21,NaN,49.5,51.3
-115.55,51.19,BANFF CS,3050519,2010-01-03,0.6,-7.5,-3.5,21.5,0,,,0.3,15,,<31,-115.03,51.03,KANANASKIS,3053600,,,,,,,,,,734141,0.877,NaN,9.85,1.51,6.97,0.358,15.8,44.2,8.08,NaN,2.06,0.507,59,0.2,NaN,49.5,51.3
-115.55,51.19,BANFF CS,3050519,2010-01-04,-4.8,-11,-7.9,25.9,0,,,0.6,15,,<31,-115.03,51.03,KANANASKIS,3053600,-8,-10,-9,27,0,0,8,8,15,734142,0.877,NaN,9.4,1.48,14,0.357,17.4,52.8,17,NaN,2.03,0.505,60.1,0.193,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-01-05,-9.7,-18.8,-14.3,32.3,0,,,0.2,15,,<31,-115.03,51.03,KANANASKIS,3053600,-11,-13,-12,30,0,0,2.6,2.6,22,734143,0.828,NaN,9.04,1.46,13.6,0.357,15.9,57.5,17.1,NaN,2.02,0.507,63.7,0.184,NaN,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-01-06,-14.5,-30.6,-22.6,40.6,0,,,1.7,17,,<31,-115.03,51.03,KANANASKIS,3053600,-15.5,-27,-21.3,39.3,0,0,0,0,21,734144,0.693,NaN,8.3,1.3,15.8,0.408,17.2,54.3,17,NaN,1.97,0.51,63.6,0.181,NaN,52.4,54.2
-115.55,51.19,BANFF CS,3050519,2010-01-07,-10.8,-22,-16.4,34.4,0,,,0,16,25,43,-115.03,51.03,KANANASKIS,3053600,-4.5,-22.5,-13.5,31.5,0,0,0,0,21,734145,0.757,NaN,8,1.47,12.5,0.4,16.7,55,15.7,NaN,2,0.515,65.1,0.185,NaN,53.8,55.6
-115.55,51.19,BANFF CS,3050519,2010-01-08,-6.2,-14.9,-10.6,28.6,0,,,0,13,22,46,-115.03,51.03,KANANASKIS,3053600,-0.5,-12,-6.3,24.3,0,0,0,0,20,734146,0.826,NaN,8.3,1.5,11.4,0.368,16.2,52,15.7,NaN,2.03,0.518,63.9,0.191,NaN,54.5,56.3
-115.55,51.19,BANFF CS,3050519,2010-01-09,-2.6,-11.4,-7,25,0,,,0,12,25,43,-115.03,51.03,KANANASKIS,3053600,7.5,-8,-0.3,18.3,0,0,0,0,20,734147,0.845,NaN,8.63,1.53,7.24,0.366,11.2,47.5,6.71,NaN,2,0.521,61.2,0.197,NaN,54.5,56.3
-115.55,51.19,BANFF CS,3050519,2010-01-10,0.7,-5,-2.2,20.2,0,,,0,12,25,39,-115.03,51.03,KANANASKIS,3053600,9.5,-1,4.3,13.7,0,0,0,0,18,734148,0.847,NaN,8.85,1.55,7.12,0.374,10.5,43.8,6.76,NaN,2,0.525,61.2,0.2,NaN,54.4,56.2
